,,,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,업체명,전화번호,홈페이지,이메일,팩스,참고사항,,,,,,,,,,,,,,,,,,,,
,28,명인본침,,,,,,,,,,,,,,,,,,,,,,,,,
,29,SMC,031-8049-8849,https://www.acukorea.co.kr/,,,,,,,,,,,,,,,,,,,,,,,
,30,동방메디컬 ,041-556-3100,https://www.dbneedle.com/,,041-556-3105,"침, 부항 등 기타 한의용품",,,,,,,,,,,,,,,,,,,,
,31,에이앤메디컬,010-6532-2625,https://anm.or.kr/,,,매선,,,,,,,,,,,,,,,,,,,,
,32,세진메디칼약품,02-2664-7007,https://www.sejinmedical.com/,,02-2664-8007,세진침,,,,,,,,,,,,,,,,,,,,
,33,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,드레싱페이퍼,,,,,,,,,,,,,,,,,,,,,,,,,
,,일회용 침대시트,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,포티움겔 (통증크림) ,유주영 / 0210-3672-4405 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,통증완화 크림으로 한의원으로 찌라시옴. ,,,,,,,,,,,,,,,,,,,,,,,,
