,,,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,업체명,전화번호,홈페이지,이메일,팩스,참고사항,,,,,,,,,,,,,,,,,,,,
,121,태안약업,,,,,,,,,,,,,,,,,,,,,,,,,
,122,태원제약,,,,,,,,,,,,,,,,,,,,,,,,,
,123,태창제약주식회사,,,,,,,,,,,,,,,,,,,,,,,,,
,124,푸른무약,,,,,,,,,,,,,,,,,,,,,,,,,
,125,풍성약업,,,,,,,,,,,,,,,,,,,,,,,,,
,126,퓨어마인드,,,,,,,,,,,,,,,,,,,,,,,,,
,127,한국온누리제약,,,,,,,,,,,,,,,,,,,,,,,,,
,128,한국지엠피,,,,,,,,,,,,,,,,,,,,,,,,,
,129,한도제약,,,,,,,,,,,,,,,,,,,,,,,,,
,130,한동허브,,,,,,,,,,,,,,,,,,,,,,,,,
,131,한사랑제약,,,,,,,,,,,,,,,,,,,,,,,,,
,132,한솔제약,,,,,,,,,,,,,,,,,,,,,,,,,
,133,한약인주식회사,,,,,,,,,,,,,,,,,,,,,,,,,
,134,해동한방제약,,,,,,,,,,,,,,,,,,,,,,,,,
,135,허브팜,,,,,,,,,,,,,,,,,,,,,,,,,
,136,현진제약,,,,,,,,,,,,,,,,,,,,,,,,,
,137,홍익제약,,,,,,,,,,,,,,,,,,,,,,,,,
,138,화순한약재유통,,,,,,,,,,,,,,,,,,,,,,,,,
,139,흥일약업,,,,,,,,,,,,,,,,,,,,,,,,,
,140,힐링네이처,,,,,,,,,,,,,,,,,,,,,,,,,
,,녹용,,,,,,,,,,,,,,,,,,,,,,,,,
,1,바이오닷,,010-7749-2641,,,,박현건 담당자,,,,,,,,,,,,,,,,,,,
,,한스원,,,,,,,,,,,,,,,,,,,,,,,,,
